False_Positive_Rate,True_Positive_Rate,Threshold
0.29171210468920394,1.0,0.010625
0.29225736095965105,1.0,0.0105
0.29334787350054525,1.0,0.010416666666666668
0.2966194111232279,1.0,0.010083333333333333
0.29880043620501634,1.0,0.01
0.3026172300981461,1.0,0.009625
0.3047982551799346,1.0,0.009583333333333333
0.3064340239912759,1.0,0.009416666666666667
0.3075245365321701,1.0,0.009375
0.30916030534351147,1.0,0.009305555555555556
0.3107960741548528,1.0,0.009166666666666667
0.3124318429661941,1.0,0.009119047619047619
0.31352235550708835,1.0,0.008958333333333334
0.31624863685932386,1.0,0.008791666666666666
0.31897491821155943,1.0,0.00875
0.32006543075245364,1.0,0.008666666666666666
0.3211559432933479,1.0,0.008625
0.3233369683751363,1.0,0.008511904761904762
0.3244274809160305,1.0,0.0085
0.326608505997819,1.0,0.008416666666666666
0.32988004362050166,1.0,0.008333333333333333
0.33151581243184297,1.0,0.008166666666666666
0.3326063249727372,1.0,0.008125
0.3336968375136314,1.0,0.008083333333333333
0.33587786259541985,1.0,0.007916666666666667
0.34133042529989094,1.0,0.007916666666666666
0.34187568157033804,1.0,0.007875
0.3440567066521265,1.0,0.007833333333333333
0.3484187568157034,1.0,0.007529761904761905
0.3505997818974918,1.0,0.0075
0.35278080697928027,1.0,0.007351190476190476
0.3538713195201745,1.0,0.007291666666666666
0.3544165757906216,1.0,0.007142857142857143
0.35605234460196294,1.0,0.007083333333333334
0.35823336968375136,1.0,0.007083333333333333
0.35986913849509267,1.0,0.0069166666666666664
0.3642311886586696,1.0,0.006875
0.3647764449291167,1.0,0.006874999999999999
0.3658669574700109,1.0,0.006750000000000001
0.366412213740458,1.0,0.0067083333333333335
0.3718647764449291,1.0,0.006666666666666666
0.37295528898582336,1.0,0.0065277777777777764
0.37404580152671757,1.0,0.006500000000000001
0.3751363140676118,1.0,0.006458333333333333
0.376226826608506,1.0,0.006458333333333332
0.37786259541984735,1.0,0.006369047619047619
0.37895310796074155,1.0,0.006333333333333333
0.3865866957470011,1.0,0.00625
0.3876772082878953,1.0,0.006083333333333334
0.3893129770992366,1.0,0.0060416666666666665
0.390948745910578,1.0,0.005952380952380954
0.3920392584514722,1.0,0.005875
0.39531079607415487,1.0,0.005833333333333334
0.39912758996728465,1.0,0.005833333333333333
0.40130861504907306,1.0,0.00575
0.40676117775354415,1.0,0.005625
0.40730643402399125,1.0,0.005583333333333333
0.4083969465648855,1.0,0.005416666666666668
0.4138495092693566,1.0,0.005416666666666666
0.4143947655398037,1.0,0.005345238095238095
0.41657579062159217,1.0,0.00525
0.4187568157033806,1.0,0.005208333333333332
0.42039258451472195,1.0,0.005124999999999999
0.42093784078516905,1.0,0.005083333333333333
0.4318429661941112,1.0,0.005
0.43293347873500543,1.0,0.004999999999999999
0.4351145038167939,1.0,0.004821428571428571
0.4372955288985823,1.0,0.004791666666666666
0.440567066521265,1.0,0.004625000000000001
0.44820065430752454,1.0,0.004583333333333333
0.44929116684841874,1.0,0.0045833333333333325
0.45038167938931295,1.0,0.004416666666666667
0.4541984732824427,1.0,0.004375
0.455288985823337,1.0,0.0043749999999999995
